0: output to qw.tmove.dmc.o
1126: Timestep is 1.15623161764706
1665: Timestep is 1.15623161764706
342: Timestep is 1.15623161764706
1127: Timestep is 1.15623161764706
1666: Timestep is 1.15623161764706
1459: Timestep is 1.15623161764706
903: Timestep is 1.15623161764706
1976: Timestep is 1.15623161764706
345: Timestep is 1.15623161764706
39: Timestep is 1.15623161764706
1128: Timestep is 1.15623161764706
1667: Timestep is 1.15623161764706
347: Timestep is 1.15623161764706
1460: Timestep is 1.15623161764706
905: Timestep is 1.15623161764706
1129: Timestep is 1.15623161764706
1977: Timestep is 1.15623161764706
1668: Timestep is 1.15623161764706
348: Timestep is 1.15623161764706
40: Timestep is 1.15623161764706
623: Timestep is 1.15623161764706
907: Timestep is 1.15623161764706
1130: Timestep is 1.15623161764706
1978: Timestep is 1.15623161764706
1461: Timestep is 1.15623161764706
349: Timestep is 1.15623161764706
41: Timestep is 1.15623161764706
911: Timestep is 1.15623161764706
1131: Timestep is 1.15623161764706
1462: Timestep is 1.15623161764706
350: Timestep is 1.15623161764706
42: Timestep is 1.15623161764706
624: Timestep is 1.15623161764706
1132: Timestep is 1.15623161764706
1463: Timestep is 1.15623161764706
43: Timestep is 1.15623161764706
625: Timestep is 1.15623161764706
1473: Timestep is 1.15623161764706
351: Timestep is 1.15623161764706
626: Timestep is 1.15623161764706
1133: Timestep is 1.15623161764706
1477: Timestep is 1.15623161764706
627: Timestep is 1.15623161764706
352: Timestep is 1.15623161764706
629: Timestep is 1.15623161764706
912: Timestep is 1.15623161764706
1134: Timestep is 1.15623161764706
1979: Timestep is 1.15623161764706
1669: Timestep is 1.15623161764706
44: Timestep is 1.15623161764706
353: Timestep is 1.15623161764706
45: Timestep is 1.15623161764706
630: Timestep is 1.15623161764706
913: Timestep is 1.15623161764706
1980: Timestep is 1.15623161764706
1670: Timestep is 1.15623161764706
354: Timestep is 1.15623161764706
46: Timestep is 1.15623161764706
914: Timestep is 1.15623161764706
1135: Timestep is 1.15623161764706
1981: Timestep is 1.15623161764706
1671: Timestep is 1.15623161764706
1478: Timestep is 1.15623161764706
47: Timestep is 1.15623161764706
915: Timestep is 1.15623161764706
1136: Timestep is 1.15623161764706
1982: Timestep is 1.15623161764706
1672: Timestep is 1.15623161764706
355: Timestep is 1.15623161764706
48: Timestep is 1.15623161764706
916: Timestep is 1.15623161764706
1983: Timestep is 1.15623161764706
1673: Timestep is 1.15623161764706
356: Timestep is 1.15623161764706
1984: Timestep is 1.15623161764706
1479: Timestep is 1.15623161764706
1137: Timestep is 1.15623161764706
1674: Timestep is 1.15623161764706
357: Timestep is 1.15623161764706
631: Timestep is 1.15623161764706
1675: Timestep is 1.15623161764706
1480: Timestep is 1.15623161764706
917: Timestep is 1.15623161764706
49: Timestep is 1.15623161764706
632: Timestep is 1.15623161764706
918: Timestep is 1.15623161764706
1985: Timestep is 1.15623161764706
1676: Timestep is 1.15623161764706
1481: Timestep is 1.15623161764706
50: Timestep is 1.15623161764706
1677: Timestep is 1.15623161764706
1482: Timestep is 1.15623161764706
633: Timestep is 1.15623161764706
919: Timestep is 1.15623161764706
1986: Timestep is 1.15623161764706
1678: Timestep is 1.15623161764706
1483: Timestep is 1.15623161764706
51: Timestep is 1.15623161764706
634: Timestep is 1.15623161764706
1679: Timestep is 1.15623161764706
1484: Timestep is 1.15623161764706
635: Timestep is 1.15623161764706
1680: Timestep is 1.15623161764706
358: Timestep is 1.15623161764706
636: Timestep is 1.15623161764706
920: Timestep is 1.15623161764706
1681: Timestep is 1.15623161764706
52: Timestep is 1.15623161764706
637: Timestep is 1.15623161764706
1987: Timestep is 1.15623161764706
638: Timestep is 1.15623161764706
921: Timestep is 1.15623161764706
1138: Timestep is 1.15623161764706
1682: Timestep is 1.15623161764706
1485: Timestep is 1.15623161764706
359: Timestep is 1.15623161764706
53: Timestep is 1.15623161764706
922: Timestep is 1.15623161764706
1139: Timestep is 1.15623161764706
1988: Timestep is 1.15623161764706
1683: Timestep is 1.15623161764706
1486: Timestep is 1.15623161764706
360: Timestep is 1.15623161764706
54: Timestep is 1.15623161764706
924: Timestep is 1.15623161764706
1140: Timestep is 1.15623161764706
1989: Timestep is 1.15623161764706
1684: Timestep is 1.15623161764706
1489: Timestep is 1.15623161764706
361: Timestep is 1.15623161764706
55: Timestep is 1.15623161764706
639: Timestep is 1.15623161764706
925: Timestep is 1.15623161764706
1141: Timestep is 1.15623161764706
1990: Timestep is 1.15623161764706
1685: Timestep is 1.15623161764706
1492: Timestep is 1.15623161764706
362: Timestep is 1.15623161764706
926: Timestep is 1.15623161764706
1142: Timestep is 1.15623161764706
1991: Timestep is 1.15623161764706
363: Timestep is 1.15623161764706
1493: Timestep is 1.15623161764706
368: Timestep is 1.15623161764706
640: Timestep is 1.15623161764706
1143: Timestep is 1.15623161764706
1992: Timestep is 1.15623161764706
1494: Timestep is 1.15623161764706
56: Timestep is 1.15623161764706
1145: Timestep is 1.15623161764706
1496: Timestep is 1.15623161764706
57: Timestep is 1.15623161764706
641: Timestep is 1.15623161764706
1146: Timestep is 1.15623161764706
642: Timestep is 1.15623161764706
927: Timestep is 1.15623161764706
1996: Timestep is 1.15623161764706
58: Timestep is 1.15623161764706
643: Timestep is 1.15623161764706
644: Timestep is 1.15623161764706
369: Timestep is 1.15623161764706
645: Timestep is 1.15623161764706
928: Timestep is 1.15623161764706
1998: Timestep is 1.15623161764706
